,date,user,comment
3137,2017-10-28 17:59:28,Twokinds,No it's the wolf monstrocity made of many wolves
3138,2017-10-28 17:59:37,Twokinds,Wolves stitched together
3170,2017-10-28 18:01:13,Twokinds,I drew my take on it yesterday
3324,2017-10-28 18:10:46,Twokinds,The masks aren't faceless!
3327,2017-10-28 18:10:52,Twokinds,They're literally all face!
3328,2017-10-28 18:10:54,Twokinds,Nothing but face!
3498,2017-10-28 18:23:14,Twokinds,livestream is cancelled due to a copyright claim by viacom
3522,2017-10-28 18:25:22,Twokinds,The stream recordings go up on youtube
3531,2017-10-28 18:26:03,Twokinds,I don't know
3590,2017-10-28 18:29:51,Twokinds,I shade with varying... shades of warm brown and cool blues
3591,2017-10-28 18:29:54,Twokinds,Don't shade with greys
3704,2017-10-28 18:37:26,Twokinds,Oh
3705,2017-10-28 18:37:29,Twokinds,That reminds me
3717,2017-10-28 18:38:00,Twokinds,"My mother brought some food over the other day, and..."
3725,2017-10-28 18:38:13,Twokinds,It was...
3735,2017-10-28 18:38:30,Twokinds,Pumpkin Spice spaghetti
3763,2017-10-28 18:39:35,Twokinds,haha
3793,2017-10-28 18:41:53,Twokinds,"No, just thriller"
3798,2017-10-28 18:42:06,Twokinds,Don't extrapolate
3812,2017-10-28 18:42:51,Twokinds,"No, just thriller"
3813,2017-10-28 18:42:55,Twokinds,Don't extrapolate
4037,2017-10-28 18:57:51,Twokinds,Done
4074,2017-10-28 18:59:22,Twokinds,^^
4095,2017-10-28 18:59:56,Twokinds,I'll do the last one later!
4102,2017-10-28 19:00:13,Twokinds,Recap
4171,2017-10-28 19:03:25,Twokinds,I was preparing to color this one until the other one won
4186,2017-10-28 19:03:53,Twokinds,It looked like it was gunna win for a while!
4188,2017-10-28 19:03:55,Twokinds,Ah well
4205,2017-10-28 19:04:46,Twokinds,G'night!
4242,2017-10-28 19:05:50,Twokinds,That stream went smoothly
4250,2017-10-28 19:06:05,Twokinds,Didn't need pain meds.
4255,2017-10-28 19:06:15,Twokinds,Pre-inking helps a lot.
4271,2017-10-28 19:07:14,Twokinds,Yep
4272,2017-10-28 19:07:18,Twokinds,Everything Thursday
4276,2017-10-28 19:07:28,Twokinds,Every thursday*
4278,2017-10-28 19:07:31,Twokinds,Yeah
4284,2017-10-28 19:07:52,Twokinds,"It can be played single player, but it's also a lot of fun with each character in the party controlled by a person."
4295,2017-10-28 19:08:31,Twokinds,Depends on how well you work together.
4305,2017-10-28 19:09:11,Twokinds,We once managed to one-shot an enemy by all attacking it at the exact same time before combat started.
4311,2017-10-28 19:09:30,Twokinds,But then there's times when we don't work together and it goes south
4323,2017-10-28 19:10:00,Twokinds,Yeah but well...
4332,2017-10-28 19:10:37,Twokinds,"Like last night, SOMEONE in our party got caught stealing from someone's upstairs area, and suddenly we're fighting a shop full of puppets"
4425,2017-10-28 19:21:41,Twokinds,I need to start tanking better. People ignore my character because I have so much health and armor.
4435,2017-10-28 19:22:21,Twokinds,I am warfare hydro
4453,2017-10-28 19:23:36,Twokinds,I don't have strength
4454,2017-10-28 19:23:40,Twokinds,I am all Con
4467,2017-10-28 19:24:30,Twokinds,I will work harder to get hit more
4476,2017-10-28 19:25:05,Twokinds,Indeed
4483,2017-10-28 19:25:57,Twokinds,What for?
4489,2017-10-28 19:26:37,Twokinds,Animals are hilarious
4495,2017-10-28 19:27:05,Twokinds,It really adds to the charm of the game.
4500,2017-10-28 19:27:17,Twokinds,All the voice actors are surprisingly good.
4501,2017-10-28 19:27:27,Twokinds,Bethesda could learn a thing or two.
4877,2017-10-28 21:10:11,Twokinds,Playing Mario reminds me of when I was a kid
4,2017-10-29 14:24:29,Twokinds,:ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer:
84,2017-11-02 20:21:37,Twokinds,Hello
92,2017-11-02 20:21:58,Twokinds,You'll get to watch me fumble around as I try to sketch the next comic
387,2017-11-02 20:52:06,Twokinds,I've nevada been there
499,2017-11-02 21:01:00,Twokinds,I actually just tried using my Switch for Netflix today before realizing it wasn't there
515,2017-11-02 21:02:22,Twokinds,I dunno
948,2017-11-02 21:46:59,Twokinds,"Reni, with boobs? ridiculous"
1004,2017-11-02 21:51:50,Twokinds,brb
1031,2017-11-02 21:54:23,Twokinds,Back back
1186,2017-11-02 22:10:02,Twokinds,"Well it's true. Reni's bigger than a horse, but not by THAT much..."
2063,2017-11-02 23:31:04,Twokinds,Thanks ^^
2176,2017-11-02 23:43:02,Twokinds,nsteddyphoenix
2231,2017-11-02 23:49:25,Twokinds,Uh...
2243,2017-11-02 23:50:20,Twokinds,I don't know.
148,2017-11-03 00:18:57,Twokinds,:ctwokinds-RainezZz:
238,2017-11-03 00:26:46,Twokinds,"Eugh, werewolves"
244,2017-11-03 00:27:05,Twokinds,"Never liked them, ever since I was a kid. There's just something weird about humanoid wolves."
278,2017-11-03 00:30:28,Twokinds,Only if they work on a swat team
338,2017-11-03 00:36:20,Twokinds,I am drawing Yosh!
410,2017-11-03 00:43:38,Twokinds,I just had the oddest of brain skips
413,2017-11-03 00:43:55,Twokinds,"I was like ""What am I doing? Oh I'm still drawing a comic."""
421,2017-11-03 00:44:26,Twokinds,I'm tired. I only had 5 hours of sleep last night
483,2017-11-03 00:49:09,Twokinds,Lies
616,2017-11-03 01:05:14,Twokinds,Okay I am tired
617,2017-11-03 01:05:28,Twokinds,I will finish the backtgrounds laters
635,2017-11-03 01:07:01,Twokinds,Seeyya sage
684,2017-11-03 01:18:14,Twokinds,kayauce
692,2017-11-03 01:18:55,Twokinds,I don't go to bed the moment I stop streaming.
1645,2017-11-03 17:40:32,Twokinds,:ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer:
1650,2017-11-03 18:01:49,Twokinds,I fixed the Kat gif so there's no black border now
1657,2017-11-03 18:09:45,Twokinds,:ctwokinds-floraquestion:
1658,2017-11-03 18:09:51,Twokinds,:ctwokinds-katdryer:
1677,2017-11-03 19:31:12,Twokinds,I feel like there's collar overload
1680,2017-11-03 19:51:26,Twokinds,"Yeah, plenty of other magic in the sea"
10,2017-11-04 14:22:11,Twokinds,:ctwokinds-nibsdance:
15,2017-11-04 14:24:35,Twokinds,I used the extra hour for extra work!
18,2017-11-04 14:27:27,Twokinds,I'm not a workaholic! There's just too much to do!
41,2017-11-04 14:43:24,Twokinds,It's a Tuesday stream for me
44,2017-11-04 14:43:40,Twokinds,I am from the future
49,2017-11-04 14:44:41,Twokinds,It's okay. A little cloudy.
67,2017-11-04 14:55:35,Twokinds,one hour
69,2017-11-04 14:56:45,Twokinds,It is currently 3:64 QM Eastern Time
72,2017-11-04 15:01:30,Twokinds,"We just flipped, apparently"
73,2017-11-04 15:01:40,Twokinds,I didn't really notice
75,2017-11-04 15:02:59,Twokinds,Yeah
77,2017-11-04 15:03:04,Twokinds,"I feel good today, though"
191,2017-11-04 15:21:03,Twokinds,"Well, I have to pay tax. xD"
192,2017-11-04 15:21:18,Twokinds,But I don't add tax. It's just in the price.
209,2017-11-04 15:23:47,Twokinds,That's why I generally calculate out my work at around $40 an hour.
211,2017-11-04 15:23:59,Twokinds,About $10 of that ends up going to THE MAN. :ctwokinds-flomad:
245,2017-11-04 15:29:38,Twokinds,:ctwokinds-reniderp_flip: Awoo
256,2017-11-04 15:34:33,Twokinds,I use an atari 2800 controller
282,2017-11-04 15:38:00,Twokinds,Haha
312,2017-11-04 15:41:19,Twokinds,Cute ^^
337,2017-11-04 15:46:34,Twokinds,"""Natani and Zen dressed like Assassin's Creed characters."" ..."
338,2017-11-04 15:46:38,Twokinds,Wait a minute...
365,2017-11-04 15:48:22,Twokinds,"""The ghosts of Alaric and Keith comfort Keith after leaving the Isles for the second time"""
366,2017-11-04 15:48:25,Twokinds,Hahaha
371,2017-11-04 15:48:49,Twokinds,I think they meant Laura
380,2017-11-04 15:49:07,Twokinds,"""It'll be alright... me"""
404,2017-11-04 15:50:54,Twokinds,Heheh
409,2017-11-04 15:51:17,Twokinds,"A few suggestions need to be removed due to repeats, or just being wrong"
413,2017-11-04 15:51:26,Twokinds,I'll need to get back to them about it
423,2017-11-04 15:52:00,Twokinds,There's a storm going on here too
426,2017-11-04 15:52:06,Twokinds,Hope it doesn't interfere with the stream
439,2017-11-04 15:52:59,Twokinds,"""Flora becomes really jealous when even Tigress Trance has bigger ""cup"" ssze than her."""
453,2017-11-04 15:53:35,Twokinds,"They put cup in quotations. You know, I'm gunna draw them holding cups, right?"
487,2017-11-04 15:55:58,Twokinds,Really? Head patting references? xD
493,2017-11-04 15:56:25,Twokinds,"Hmmm, what does head patting look like?"
584,2017-11-04 16:02:49,Twokinds,Well I suppose I could dress them as different assassin creed characters
688,2017-11-04 16:09:22,Twokinds,"Weird, the bot's not here!"
692,2017-11-04 16:09:37,Twokinds,https://tkpolls.com/ !
