,date,user,comment
1992,2021-01-09 18:37:03,Twokinds,"I usually sketch with one, but I will use multiple if necessary. Sometimes if there's multiple characters interacting or a background I want seperate for some reason."
2034,2021-01-09 18:41:07,Twokinds,Done
2069,2021-01-09 18:42:50,Twokinds,She doesn't have a name yet.
2082,2021-01-09 18:44:16,Twokinds,I don't wanna say which way specifically I'm not sure
2086,2021-01-09 18:44:29,Twokinds,Yeah prob
2106,2021-01-09 18:47:00,Twokinds,"She's not albino like Willow, she's normal lion colors."
2113,2021-01-09 18:47:56,Twokinds,"She slipped in the rain and slid down a steep hill, catching a branch at the bottom. She tried to bandage it but bled out."
2325,2021-01-09 19:24:28,Twokinds,Yes I'll be reusing the suggestions for next week's omnipoll
2369,2021-01-09 19:38:24,Twokinds,Done
2518,2021-01-09 19:59:53,Twokinds,"33? wow, anchient."
2806,2021-01-09 20:41:02,Twokinds,Done
3037,2021-01-09 21:11:48,Twokinds,brb
3260,2021-01-09 21:52:03,Twokinds,Done
3322,2021-01-09 21:57:08,Twokinds,Hi Fluff!
3342,2021-01-09 22:01:48,Twokinds,sure I guess why not
3356,2021-01-09 22:03:31,Twokinds,Sorry brb
3464,2021-01-09 22:16:32,Twokinds,I'm back!
3465,2021-01-09 22:16:33,Twokinds,Sorry about that
3500,2021-01-09 22:21:16,Twokinds,???
3502,2021-01-09 22:21:29,Twokinds,"Sorry, I don't know what happened to it."
3515,2021-01-09 22:22:23,Twokinds,I added it
3516,2021-01-09 22:22:38,Twokinds,Well I'm so confused where it went.
3524,2021-01-09 22:23:06,Twokinds,I just copy and pasted them all into the form. But maybe I accidentally seletected the line and hit space?
3526,2021-01-09 22:23:14,Twokinds,That's the only way I could see it suddenly vanishing.
3538,2021-01-09 22:24:38,Twokinds,uh... just don't use deductive reasoning
3622,2021-01-09 22:34:53,Twokinds,o/
3653,2021-01-09 22:38:01,Twokinds,Uh... what name did you suggest under?
3656,2021-01-09 22:38:06,Twokinds,Cause I don't see a Skornos
3661,2021-01-09 22:38:46,Twokinds,oh right right
3665,2021-01-09 22:39:12,Twokinds,No worries about that one
3679,2021-01-09 22:40:32,Twokinds,I was just planning on drawing that one
3759,2021-01-09 22:48:19,Twokinds,There was also the halloween one!
3765,2021-01-09 22:48:31,Twokinds,I dunno how
3788,2021-01-09 22:50:20,Twokinds,"My art was all the stuff in the bottom left, mostly."
3792,2021-01-09 22:50:45,Twokinds,Female Reindeer have antlers.
3827,2021-01-09 22:57:31,Twokinds,Yeah I've drawn normal deer
3828,2021-01-09 22:57:36,Twokinds,There was one in the flora hunting sketch too
3861,2021-01-09 23:00:31,Twokinds,:dagger:
